"recipient_id","question_id","question","answer_type","definition1","definition2","definition3","definition4","definition5","definition6","definition7","answer","ele","scicomm","isl","after_school"
21,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,0,0,0,0
58,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,2,1,0,0,0
26,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,3,1,0,0,0
31,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,3,0,0,0,0
60,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,3,0,0,0,0
82,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,3,1,0,1,0
75,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,3,0,1,1,0
64,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,3,1,1,1,0
37,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,3,1,1,1,1
24,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,0,0,0
47,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,0,1,0,0
68,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,0,1,0
57,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,0,0,0
48,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,0,0,1,0
1,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,0,0,0
32,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,0,0,1
73,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,1,1,0
66,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,0,1,1,1
49,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,0,0,0,0
38,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,0,0,0
54,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,1,1,1
53,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,1,0,0
65,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,0,1,1,1
96,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,0,0,1,0
103,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,0,0,0,0
81,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,0,0,0
20,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,0,1,1,0
93,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,1,0,0
41,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,0,1,0,0
14,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,1,1,1
86,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,1,1,1
35,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,0,0,0
72,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,1,0,0
52,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,0,0,0
51,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,0,0,0
11,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,0,0,0
6,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,1,0,1
84,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,0,0,0
2,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,1,0,1
33,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,0,0,1
63,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,4,1,1,0,0
74,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,1,0,0
61,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,1,1,0
5,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,0
40,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,0
36,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,1,0,0
71,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,0
44,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,0,1,0,0
55,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,0
45,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,1,1,1
90,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,1,0,0
87,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,0,1,0,0
43,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,0,0,0,0
83,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,0
85,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,0,0,1,0
30,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,0
18,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,1
15,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,0
25,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,0,0,0,0
67,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,0
106,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,0,0,1,0
108,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,0,1,0,0
46,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,1
88,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,1,0
4,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,0
28,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,1,1
34,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,0
23,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,0
78,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,1,0,0
89,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,0
62,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,NULL,0,0,0,1
76,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,NULL,1,1,1,0
27,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,NULL,0,1,1,0
