"recipient_id","question_id","question","answer_type","definition1","definition2","definition3","definition4","definition5","definition6","definition7","answer","ele","arachnid_research","arachnid_course"
66,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",2,0,1,0
47,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",3,0,0,0
26,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",3,1,0,0
20,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",3,0,0,0
35,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",3,1,0,0
52,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",3,1,0,0
88,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",3,1,0,0
74,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4,1,1,0
31,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4,0,0,0
48,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4,0,0,0
73,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4,1,0,0
60,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4,0,0,0
49,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4,0,0,0
54,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4,1,1,1
90,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4,1,0,0
65,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4,0,0,0
103,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4,0,0,0
82,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4,1,0,0
64,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4,1,0,0
63,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4,1,0,1
58,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,1,0,0
5,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,1,0,0
71,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,1,0,0
1,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,1,0,0
32,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,1,0,0
44,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,0,0,0
53,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,1,0,0
87,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,0,0,0
43,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,0,0,0
96,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,0,0,0
27,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,0,0,0
85,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,0,0,0
18,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,1,0,0
25,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,0,0,0
21,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,0,0,0
14,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,1,1,1
106,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,0,0,0
72,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,1,0,0
75,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,0,1,0
4,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,1,0,0
6,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,1,0,0
37,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,1,0,0
78,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,1,0,0
2,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,1,1,0
33,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,1,0,0
24,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
68,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
57,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
40,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
36,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
38,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
55,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
45,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,1,1
30,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,1,0
81,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
15,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
93,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
41,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,0,0,0
86,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
108,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,0,0,0
46,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
51,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
34,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
84,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
23,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
61,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7,1,0,0
83,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7,1,0,0
67,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7,1,0,0
11,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7,1,0,0
28,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7,1,0,0
89,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7,1,0,0
62,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",NULL,0,0,0
76,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",NULL,1,0,0
